data,trip_creation_time,route_schedule_uuid,route_type,trip_uuid,source_center,source_name,destination_center,destination_name,od_start_time,od_end_time,start_scan_to_end_scan,is_cutoff,cutoff_factor,cutoff_timestamp,actual_distance_to_destination,actual_time,osrm_time,osrm_distance,factor,segment_actual_time,segment_osrm_time,segment_osrm_distance,segment_factor
training,23-09-2018 06:42,thanos::sroute:ff52ef7a-4d0d-4063-9bfe-cc211728881b,FTL,trip-153768492602129387,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND411033AAA,Pune_Tathawde_H (Maharashtra),23-09-2018 06:42,23-09-2018 11:44,302,TRUE,22,23-09-2018 11:05,23.19433369,38,24,26.8622,1.583333333,38,24,26.8622,1.583333333
training,23-09-2018 06:42,thanos::sroute:ff52ef7a-4d0d-4063-9bfe-cc211728881b,FTL,trip-153768492602129387,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND411033AAA,Pune_Tathawde_H (Maharashtra),23-09-2018 06:42,23-09-2018 11:44,302,TRUE,44,23-09-2018 10:27,44.0456588,76,41,54.4326,1.853658537,37,27,30.1058,1.37037037
training,23-09-2018 06:42,thanos::sroute:ff52ef7a-4d0d-4063-9bfe-cc211728881b,FTL,trip-153768492602129387,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND411033AAA,Pune_Tathawde_H (Maharashtra),23-09-2018 06:42,23-09-2018 11:44,302,TRUE,66,23-09-2018 09:45,72.84932737,117,68,89.668,1.720588235,41,26,35.2353,1.576923077
training,23-09-2018 06:42,thanos::sroute:ff52ef7a-4d0d-4063-9bfe-cc211728881b,FTL,trip-153768492602129387,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND411033AAA,Pune_Tathawde_H (Maharashtra),23-09-2018 06:42,23-09-2018 11:44,302,TRUE,88,23-09-2018 09:21,88.07659949,141,80,108.3939,1.7625,23,14,17.2476,1.642857143
training,23-09-2018 06:42,thanos::sroute:ff52ef7a-4d0d-4063-9bfe-cc211728881b,FTL,trip-153768492602129387,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND411033AAA,Pune_Tathawde_H (Maharashtra),23-09-2018 06:42,23-09-2018 11:44,302,FALSE,100,23-09-2018 08:39,100.7084229,183,95,129.3519,1.926315789,41,15,20.958,2.733333333
training,14-09-2018 15:42,thanos::sroute:a16bfa03-3462-4bce-9c82-5784c7d315e6,Carting,trip-153693976643699843,IND400011AAA,LowerParel_CP (Maharashtra),IND400072AAD,Mumbai_Chndivli_PC (Maharashtra),14-09-2018 15:42,14-09-2018 17:31,108,TRUE,9,14-09-2018 16:29,9.355852457,46,11,11.4344,4.181818182,46,11,11.4344,4.181818182
training,14-09-2018 15:42,thanos::sroute:a16bfa03-3462-4bce-9c82-5784c7d315e6,Carting,trip-153693976643699843,IND400011AAA,LowerParel_CP (Maharashtra),IND400072AAD,Mumbai_Chndivli_PC (Maharashtra),14-09-2018 15:42,14-09-2018 17:31,108,FALSE,16,14-09-2018 16:15,16.43127291,60,16,18.7941,3.75,14,5,7.3597,2.8
training,13-09-2018 20:44,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153687145942424248,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),13-09-2018 20:44,13-09-2018 23:59,195,TRUE,22,13-09-2018 23:25,23.6358107,30,30,28.9765,1,30,30,28.9765,1
training,13-09-2018 20:44,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153687145942424248,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),13-09-2018 20:44,13-09-2018 23:59,195,FALSE,39,13-09-2018 22:47,39.80603561,67,53,52.1256,1.264150943,37,26,24.9545,1.423076923
training,13-09-2018 20:44,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153687145942424248,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND683511AAA,Aluva_Peedika_H (Kerala),13-09-2018 23:59,14-09-2018 13:55,836,TRUE,22,14-09-2018 12:45,24.31986386,50,24,29.7046,2.083333333,50,24,29.7046,2.083333333
training,13-09-2018 20:44,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153687145942424248,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND683511AAA,Aluva_Peedika_H (Kerala),13-09-2018 23:59,14-09-2018 13:55,836,TRUE,44,14-09-2018 12:15,44.43657661,80,43,51.631,1.860465116,30,18,21.9265,1.666666667
training,13-09-2018 20:44,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153687145942424248,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND683511AAA,Aluva_Peedika_H (Kerala),13-09-2018 23:59,14-09-2018 13:55,836,TRUE,66,14-09-2018 10:41,67.7348273,174,82,96.7055,2.12195122,93,38,45.0744,2.447368421
training,13-09-2018 20:44,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153687145942424248,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND683511AAA,Aluva_Peedika_H (Kerala),13-09-2018 23:59,14-09-2018 13:55,836,TRUE,88,14-09-2018 09:39,89.3197134,236,119,132.086,1.983193277,62,37,35.3805,1.675675676
training,13-09-2018 20:44,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153687145942424248,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND683511AAA,Aluva_Peedika_H (Kerala),13-09-2018 23:59,14-09-2018 13:55,836,TRUE,110,14-09-2018 08:49,110.6204427,285,149,159.8228,1.912751678,49,30,27.7369,1.633333333
training,13-09-2018 20:44,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153687145942424248,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND683511AAA,Aluva_Peedika_H (Kerala),13-09-2018 23:59,14-09-2018 13:55,836,TRUE,132,14-09-2018 08:11,134.7005557,324,175,184.8252,1.851428571,38,25,25.0182,1.52
training,13-09-2018 20:44,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153687145942424248,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND683511AAA,Aluva_Peedika_H (Kerala),13-09-2018 23:59,14-09-2018 13:55,836,TRUE,154,14-09-2018 07:45,154.8474311,350,192,207.7469,1.822916667,26,17,22.9217,1.529411765
training,13-09-2018 20:44,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153687145942424248,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND683511AAA,Aluva_Peedika_H (Kerala),13-09-2018 23:59,14-09-2018 13:55,836,TRUE,176,14-09-2018 07:17,177.5539525,377,214,237.1675,1.761682243,27,22,29.4206,1.227272727
training,13-09-2018 20:44,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153687145942424248,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND683511AAA,Aluva_Peedika_H (Kerala),13-09-2018 23:59,14-09-2018 13:55,836,TRUE,198,14-09-2018 06:51,199.798505,404,233,262.2909,1.733905579,26,18,25.1233,1.444444444
training,13-09-2018 20:44,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153687145942424248,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND683511AAA,Aluva_Peedika_H (Kerala),13-09-2018 23:59,14-09-2018 13:55,836,TRUE,220,14-09-2018 06:15,220.4008851,440,251,286.7275,1.752988048,35,18,24.4366,1.944444444
training,13-09-2018 20:44,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153687145942424248,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND683511AAA,Aluva_Peedika_H (Kerala),13-09-2018 23:59,14-09-2018 13:55,836,TRUE,242,14-09-2018 05:49,242.92642,466,270,311.0967,1.725925926,26,18,24.3692,1.444444444
training,13-09-2018 20:44,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153687145942424248,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND683511AAA,Aluva_Peedika_H (Kerala),13-09-2018 23:59,14-09-2018 13:55,836,TRUE,264,14-09-2018 04:41,267.1737966,533,304,341.1483,1.753289474,67,36,41.6972,1.861111111
training,13-09-2018 20:44,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153687145942424248,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND683511AAA,Aluva_Peedika_H (Kerala),13-09-2018 23:59,14-09-2018 13:55,836,TRUE,286,14-09-2018 04:03,292.0587177,572,332,369.2797,1.722891566,38,32,34.2999,1.1875
training,13-09-2018 20:44,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153687145942424248,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND683511AAA,Aluva_Peedika_H (Kerala),13-09-2018 23:59,14-09-2018 13:55,836,TRUE,308,14-09-2018 03:43,308.8523393,592,349,387.3361,1.696275072,20,16,18.0564,1.25
training,13-09-2018 20:44,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153687145942424248,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND683511AAA,Aluva_Peedika_H (Kerala),13-09-2018 23:59,14-09-2018 13:55,836,TRUE,330,14-09-2018 02:51,331.494166,643,376,416.1922,1.710106383,51,27,28.8561,1.888888889
training,13-09-2018 20:44,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153687145942424248,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND683511AAA,Aluva_Peedika_H (Kerala),13-09-2018 23:59,14-09-2018 13:55,836,FALSE,331,14-09-2018 01:17,331.6523996,738,433,472.5899,1.704387991,94,70,72.5561,1.342857143
test,29-09-2018 22:21,thanos::sroute:0904e75c-b3ac-4278-96cf-802835a1d5fc,FTL,trip-153825970514894360,IND141003AAB,Ludhiana_GillChwk_DC (Punjab),IND142026AAA,Jagraon_DC (Punjab),30-09-2018 02:22,30-09-2018 03:42,80,TRUE,22,30-09-2018 03:12,23.58330641,20,16,23.81,1.25,20,16,23.81,1.25
test,29-09-2018 22:21,thanos::sroute:0904e75c-b3ac-4278-96cf-802835a1d5fc,FTL,trip-153825970514894360,IND141003AAB,Ludhiana_GillChwk_DC (Punjab),IND142026AAA,Jagraon_DC (Punjab),30-09-2018 02:22,30-09-2018 03:42,80,FALSE,36,30-09-2018 02:52,36.6231718,40,31,40.664,1.290322581,19,14,16.854,1.357142857
test,29-09-2018 22:21,thanos::sroute:0904e75c-b3ac-4278-96cf-802835a1d5fc,FTL,trip-153825970514894360,IND142026AAA,Jagraon_DC (Punjab),IND141109AAA,Raikot_DC (Punjab),30-09-2018 03:42,30-09-2018 05:12,89,FALSE,20,30-09-2018 04:14,20.45654434,51,35,23.3491,1.457142857,51,35,23.3491,1.457142857
test,29-09-2018 22:21,thanos::sroute:0904e75c-b3ac-4278-96cf-802835a1d5fc,FTL,trip-153825970514894360,IND141109AAA,Raikot_DC (Punjab),IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),30-09-2018 05:12,30-09-2018 06:44,92,TRUE,22,30-09-2018 05:50,22.23803749,41,45,32.6991,0.911111111,41,45,32.6991,0.911111111
test,29-09-2018 22:21,thanos::sroute:0904e75c-b3ac-4278-96cf-802835a1d5fc,FTL,trip-153825970514894360,IND141109AAA,Raikot_DC (Punjab),IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),30-09-2018 05:12,30-09-2018 06:44,92,FALSE,38,30-09-2018 05:30,38.40878261,61,57,59.7523,1.070175439,20,27,19.0379,0.740740741
training,17-09-2018 21:26,thanos::sroute:87d41453-285f-40a2-b56c-64d56e1b4cd8,Carting,trip-153721957397763022,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND560083AAB,Bengaluru_Bnnrghta_L (Karnataka),17-09-2018 21:26,18-09-2018 02:47,321,TRUE,9,18-09-2018 01:23,10.25966086,15,15,14.1889,1,15,15,14.1889,1
training,17-09-2018 21:26,thanos::sroute:87d41453-285f-40a2-b56c-64d56e1b4cd8,Carting,trip-153721957397763022,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND560083AAB,Bengaluru_Bnnrghta_L (Karnataka),17-09-2018 21:26,18-09-2018 02:47,321,TRUE,18,18-09-2018 01:11,18.97333582,27,22,23.5235,1.227272727,12,13,13.3799,0.923076923
training,17-09-2018 21:26,thanos::sroute:87d41453-285f-40a2-b56c-64d56e1b4cd8,Carting,trip-153721957397763022,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND560083AAB,Bengaluru_Bnnrghta_L (Karnataka),17-09-2018 21:26,18-09-2018 02:47,321,TRUE,27,18-09-2018 00:47,27.17603391,51,31,36.1825,1.64516129,23,10,10.523,2.3
training,17-09-2018 21:26,thanos::sroute:87d41453-285f-40a2-b56c-64d56e1b4cd8,Carting,trip-153721957397763022,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND560083AAB,Bengaluru_Bnnrghta_L (Karnataka),17-09-2018 21:26,18-09-2018 02:47,321,FALSE,31,18-09-2018 00:29,31.69250609,69,39,41.3322,1.769230769,18,7,5.1497,2.571428571
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362001AAA,Junagadh_DPC (Gujarat),IND362220AAA,Junagadh_keshod_DC (Gujarat),12-09-2018 01:33,12-09-2018 02:42,68,TRUE,9,12-09-2018 02:19,9.756514287,15,14,14.1013,1.071428571,15,14,14.1013,1.071428571
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362001AAA,Junagadh_DPC (Gujarat),IND362220AAA,Junagadh_keshod_DC (Gujarat),12-09-2018 01:33,12-09-2018 02:42,68,TRUE,18,12-09-2018 02:05,18.92112198,29,13,19.5467,2.230769231,14,12,12.1334,1.166666667
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362001AAA,Junagadh_DPC (Gujarat),IND362220AAA,Junagadh_keshod_DC (Gujarat),12-09-2018 01:33,12-09-2018 02:42,68,TRUE,27,12-09-2018 01:53,27.02347219,41,21,29.8501,1.952380952,11,7,10.3034,1.571428571
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362001AAA,Junagadh_DPC (Gujarat),IND362220AAA,Junagadh_keshod_DC (Gujarat),12-09-2018 01:33,12-09-2018 02:42,68,FALSE,28,12-09-2018 01:51,28.34066094,43,22,31.1283,1.954545455,2,0,1.2782,-1
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362265AAA,Veraval_DC (Gujarat),IND362720AAA,Kodinar_NCplxDPP_D (Gujarat),12-09-2018 04:39,12-09-2018 06:12,92,TRUE,9,12-09-2018 05:47,9.518242562,16,9,13.0306,1.777777778,16,9,13.0306,1.777777778
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362265AAA,Veraval_DC (Gujarat),IND362720AAA,Kodinar_NCplxDPP_D (Gujarat),12-09-2018 04:39,12-09-2018 06:12,92,TRUE,18,12-09-2018 05:33,18.70597999,30,16,22.8418,1.875,13,6,9.8112,2.166666667
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362265AAA,Veraval_DC (Gujarat),IND362720AAA,Kodinar_NCplxDPP_D (Gujarat),12-09-2018 04:39,12-09-2018 06:12,92,TRUE,27,12-09-2018 05:13,27.50981341,50,24,35.0985,2.083333333,20,8,12.2567,2.5
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362265AAA,Veraval_DC (Gujarat),IND362720AAA,Kodinar_NCplxDPP_D (Gujarat),12-09-2018 04:39,12-09-2018 06:12,92,FALSE,33,12-09-2018 04:49,33.56997288,74,32,43.1216,2.3125,24,7,8.0231,3.428571429
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362720AAA,Kodinar_NCplxDPP_D (Gujarat),IND362560AAA,Una_Mamlatdr_DC (Gujarat),12-09-2018 06:12,12-09-2018 07:19,67,TRUE,27,12-09-2018 06:13,34.29262431,57,26,36.3964,2.192307692,57,26,36.3964,2.192307692
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362720AAA,Kodinar_NCplxDPP_D (Gujarat),IND362560AAA,Una_Mamlatdr_DC (Gujarat),12-09-2018 06:12,12-09-2018 07:19,67,TRUE,36,12-09-2018 06:12,37.24074081,59,28,39.5496,2.107142857,1,2,3.1531,0.5
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362720AAA,Kodinar_NCplxDPP_D (Gujarat),IND362560AAA,Una_Mamlatdr_DC (Gujarat),12-09-2018 06:12,12-09-2018 07:19,67,FALSE,37,12-09-2018 06:12,37.24074081,59,28,39.5496,2.107142857,0,0,0,-1
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362560AAA,Una_Mamlatdr_DC (Gujarat),IND362150AAA,Talala_SsnRdDPP_D (Gujarat),12-09-2018 07:19,12-09-2018 09:26,127,TRUE,9,12-09-2018 08:53,9.996277511,15,10,11.6241,1.5,15,10,11.6241,1.5
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362560AAA,Una_Mamlatdr_DC (Gujarat),IND362150AAA,Talala_SsnRdDPP_D (Gujarat),12-09-2018 07:19,12-09-2018 09:26,127,TRUE,18,12-09-2018 08:31,23.32832787,37,24,26.6106,1.541666667,22,13,14.9864,1.692307692
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362560AAA,Una_Mamlatdr_DC (Gujarat),IND362150AAA,Talala_SsnRdDPP_D (Gujarat),12-09-2018 07:19,12-09-2018 09:26,127,TRUE,36,12-09-2018 08:03,39.54026306,65,42,45.5218,1.547619048,27,17,18.9113,1.588235294
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362560AAA,Una_Mamlatdr_DC (Gujarat),IND362150AAA,Talala_SsnRdDPP_D (Gujarat),12-09-2018 07:19,12-09-2018 09:26,127,TRUE,45,12-09-2018 07:49,45.40221058,79,49,53.3342,1.612244898,14,7,7.8124,2
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362560AAA,Una_Mamlatdr_DC (Gujarat),IND362150AAA,Talala_SsnRdDPP_D (Gujarat),12-09-2018 07:19,12-09-2018 09:26,127,TRUE,54,12-09-2018 07:39,54.26972086,89,57,62.6152,1.561403509,10,8,9.281,1.25
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362560AAA,Una_Mamlatdr_DC (Gujarat),IND362150AAA,Talala_SsnRdDPP_D (Gujarat),12-09-2018 07:19,12-09-2018 09:26,127,FALSE,56,12-09-2018 07:19,56.98627782,110,60,73.8199,1.833333333,20,5,6.9929,4
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362150AAA,Talala_SsnRdDPP_D (Gujarat),IND362001AAA,Junagadh_DPC (Gujarat),12-09-2018 09:26,12-09-2018 11:26,119,TRUE,9,12-09-2018 10:59,10.24621898,20,15,13.515,1.333333333,20,15,13.515,1.333333333
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362150AAA,Talala_SsnRdDPP_D (Gujarat),IND362001AAA,Junagadh_DPC (Gujarat),12-09-2018 09:26,12-09-2018 11:26,119,TRUE,18,12-09-2018 10:53,18.26590273,26,24,22.0611,1.083333333,6,9,8.5462,0.666666667
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362150AAA,Talala_SsnRdDPP_D (Gujarat),IND362001AAA,Junagadh_DPC (Gujarat),12-09-2018 09:26,12-09-2018 11:26,119,TRUE,27,12-09-2018 10:27,33.8310723,52,42,40.5264,1.238095238,25,17,18.4652,1.470588235
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362150AAA,Talala_SsnRdDPP_D (Gujarat),IND362001AAA,Junagadh_DPC (Gujarat),12-09-2018 09:26,12-09-2018 11:26,119,TRUE,36,12-09-2018 10:21,43.35518465,58,55,54.4999,1.054545455,6,12,13.9735,0.5
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362150AAA,Talala_SsnRdDPP_D (Gujarat),IND362001AAA,Junagadh_DPC (Gujarat),12-09-2018 09:26,12-09-2018 11:26,119,TRUE,45,12-09-2018 09:35,46.32261279,104,60,60.1994,1.733333333,45,5,5.6995,9
training,12-09-2018 01:33,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362150AAA,Talala_SsnRdDPP_D (Gujarat),IND362001AAA,Junagadh_DPC (Gujarat),12-09-2018 09:26,12-09-2018 11:26,119,FALSE,52,12-09-2018 09:27,52.25668989,112,67,67.586,1.671641791,8,6,7.3866,1.333333333
test,01-10-2018 16:00,thanos::sroute:182fdad4-dc74-4c7d-ada4-0a76d4c763ed,FTL,trip-153840964571880594,IND131028AAB,Sonipat_Kundli_H (Haryana),IND247667AAB,Roorkee_IOTCEncl_L (Uttarakhand),01-10-2018 16:00,01-10-2018 23:43,463,TRUE,22,01-10-2018 23:05,22.18267915,36,26,23.8865,1.384615385,36,26,23.8865,1.384615385
test,01-10-2018 16:00,thanos::sroute:182fdad4-dc74-4c7d-ada4-0a76d4c763ed,FTL,trip-153840964571880594,IND131028AAB,Sonipat_Kundli_H (Haryana),IND247667AAB,Roorkee_IOTCEncl_L (Uttarakhand),01-10-2018 16:00,01-10-2018 23:43,463,TRUE,44,01-10-2018 22:08,44.45941335,93,46,48.9391,2.02173913,57,19,25.0526,3
test,01-10-2018 16:00,thanos::sroute:182fdad4-dc74-4c7d-ada4-0a76d4c763ed,FTL,trip-153840964571880594,IND131028AAB,Sonipat_Kundli_H (Haryana),IND247667AAB,Roorkee_IOTCEncl_L (Uttarakhand),01-10-2018 16:00,01-10-2018 23:43,463,TRUE,66,01-10-2018 21:32,67.37593518,129,72,72.4798,1.791666667,35,25,23.5407,1.4
